Index,Text
25-3.9.2.3.1.1,For forward facing panes situated forward to an occupant and which have impact probability the drop height shall be 3 m. The HIC value shall also be measured.(used only for a drop height of less than or equal to 1.5 m)
25-3.9.2.3.1.2,"For side windows, back windows with limited impact possibilities and sunroofs the drop height shall be 1.5 m. The HIC value shall be measured."
25-3.9.2.3.2,"For rigid plastic windscreens and laminated rigid plastic windscreens tests on a complete windscreens, the drop height shall be 3 m. The HIC value is also to be measured."
25-3.9.2.4,The test shall be deemed to have given a satisfactory result if the following conditions are fulfilled:
25-3.9.2.4.1,The test piece or sample is not penetrated nor shall it break into fully separate large pieces.
25-3.9.2.4.2,"The HIC value is less than 1,000. "
25-3.9.2.4.3,All the tests give satisfactory results.
25-3.10,Test of resistance to abrasion:
25-3.10.1,Test pieces: three pieces of squares of side 100 mm.
25-3.10.2,"The methods of haze calculation Immediately place the test piece against the entrance port of the integrating sphere. The angle between the normal (perpendicular) to the surface of the test piece and the axis of the light beam shall not exceed 8 degrees . Take four readings as indicated in the following table: Repeat readings for T1, T2, T3, and T4 with other specified positions of the test piece to determine uniformity. Calculate the total transmittance Tt = T2/T1. Calculate the total transmittance Td as follows:  Calculate the percentage haze, or light, or both, scattered, as follows: Haze, or light, or both, scattered, Measure the initial haze of the test piece at a minimum of four equally-spaced points in the unabraded area in accordance with the formula above. Average the results for each test piece. In lieu of the four measurements, an average value may be obtained by rotating the piece uniformly at 3 rev/sec or more."
25-3.10.3,Condition the test pieces for a minimum time of 48 hours at 20 +/- 5 degrees C and 60 +/- 20 per cent relative humidity.
25-3.10.4,"The abrasion test shall be carried out on that surface of the test piece which represents the outside face of the laminated-glass pane when the latter is mounted on the vehicle. Abrading instrument consists of a horizontal turntable, which revolves counter-clockwise at 65 to 75 rev/min, and two weighted parallel arms each carrying a special abrasive wheel freely rotating; each wheel rests on the test specimen under the pressure exerted by a mass of 500 g, the test being continued for 1000 cyclesp·Rigid plastic glazings and rigid plastic double glazed units can be declared as M by applicant then it can be reduced to 500 times p¸. and measure the haze once again. if coated on the inner face with a layer of plastics material(e.g. safety glazing faced with plastics material(on the inside)), the plastics coating shall be subjected to a test for 100 cycles and measure the haze once again."
25-3.10.4.1,"For glass-plastics windscreens and glass-plastics panes , test of resistance to abrasion on the outer face, the test being continued for 1,000 cycles ; test of resistance to abrasion on the inner face, the plastics coating shall be subjected to a test for 100  cycles and measure the haze once again."
25-3.10.5,The wheels shall have a hardness of 72 5 IRHD (International Rubber Hardness).
25-3.10.6,"Outer surface, the light scatter as a result of abrasion of the test piece does not exceed 2%. In the case of glazing of class M, the abrasion test shall be considered to have given a satisfactory result if the total light scatter after abrasion does not exceed 10 per cent after 500 cycles on the outer surface of the test sample and 4 per cent after 100 cycles on the inner surface of the test sample."
25-3.10.7,"In the case of glazing of declared as L by applicant , for the abrasion on the outer surface of the test sample, either the Taber test or as an equivalent alternative the package of Sand drop test, Carwash test and Wiper test shall apply as described  Paragraph- Paragraph- Paragraph-."
25-3.10.8,"For laminated rigid plastic panes shall be subjected to testing ,as follows"
25-3.10.8.1,"In the case of glazing of declared as L by applicant, the Taber abrasion test shall be considered to have given a satisfactory result if the increase of haze after abrasion does not exceed 2 per cent after 1,000 cycles on the outer surface of the test sample and 4 per cent after 100 cycles on the inner surface of the test sample"
25-3.10.8.2,"In the case of glazing of declared as M by applicant, the Taber abrasion test shall be considered to have given a satisfactory result if the increase of haze after abrasion does not exceed 10 percent after 500 cycles on the outer surface of the test sample and 4 per cent after 100 cycles on the inner surface of the test sample."
25-3.10.8.3,For sun roofs no abrasion test is required.
25-3.10.8.4,All the tests give satisfactory results.
25-3.10.9,"For rigid plastic windscreens and laminated rigid plastic windscreens shall be subjected to testing ,as follows"
25-3.10.9.1,"The test is performed for 1,000 cycles to measure abrasion of the surface of the product. The safety glazing shall be considered satisfactory with respect to abrasion resistance if the increase of haze as a result of abrasion of the test piece does not  exceed 2 per cent."
25-3.10.9.2,All the tests give a satisfactory result.
25-3.11,Test of resistance to high temperature:
25-3.11.1,Test pieces: three samples or three square test pieces of at least 300 x 300 mm.
25-3.11.2,"Heat test pieces to 100 deg. C +0 deg. C / -2 deg. C. Maintain this temperature for a period of two hours, then allow the test pieces to cool to room temperature. The test shall be carried out in an oven if the boiling water temperature is outside the specified tolerance."
25-3.11.3,The test for resistance to high temperature shall be considered to give a positive result if bubbles or other defects are not formed more than 15 mm from an uncut edge or 25 mm from a cut edge of the test piece or sample or more than 10 mm away of any cracks which may occur during the test.
25-3.11.4,A set of test pieces or samples submitted for approval shall be considered satisfactory from the point of view of the test for resistance to high temperature if all the tests have given a satisfactory result.
25-3.12,Resistance-to-radiation test:
25-3.12.1,"Test pieces: three test pieces, with size of 76 mm x 300 mm."
25-3.12.2,Maintain the temperature of the test pieces at 45 5 throughout the test. That face of each test piece which would constitute a glazed exterior part of the vehicle shall face the lamp. place the test pieces in the test apparatus 230 mm from and parallel lengthwise to the lamp axis (750 50 W quartz mercury lamp or equivalent one) and the exposure time to UV shall be 100 hours.
25-3.12.3,The total light transmittance does not fall below 95 % of the original value before irradiation and in any event does not fall below 70 % in the case of windscreens and other glazing located in a position requisite for driving visibility.
25-3.12.4,"For laminated rigid plastic panes and laminated rigid plastic windscreens, the test piece or sample may however show a slight coloration after irradiation when examined against a white background, but no other defect may be apparent. A set of test pieces or  samples submitted for approval shall be considered satisfactory from the point of view of the resistance-to-radiation test if one of the following conditions is fulfilled:"
25-3.12.5,All the tests give a satisfactory result.
25-3.13,Resistance-to-humidity test:
25-3.13.1,"For laminated-glass panes, laminated-glass windscreens ,safety glazing faced with plastics material(on the inside), glass-plastics windscreens and glass-plastics panes of test pieces: Three square test pieces of 300 x 300 mm ( In the case of rigid plastic panes and rigid plastic multiple glazed units, laminated rigid plastic panes and laminated rigid plastic windscreens, the number of samples shall be ten)."
25-3.13.2,Keep test pieces in a vertical position for two weeks in a closed container in which the temperature is maintained at 50 +/- 2 and the relative humidity at 95 +/- 4%.
25-3.13.3,Test pieces shall be comply with following regulations:
25-3.13.3.1,"For laminated glass, laminated-glass windscreens ,rigid plastic panes, rigid plastic multiple glazed units, safety glazing faced with plastics material(on the inside), glass-plastics windscreens and glass-plastics panes:"
25-3.13.3.1.1,"Safety glazing shall be deemed to be satisfactory from the point of view of resistance to humidity if no significant change is observed more than 10 mm from the uncut edges and more than 15 mm from the cut edges after ordinary and treated laminated glass panes have been maintained for two hours in the ambient atmosphere, and plastics-faced and glass-plastics panes have been maintained for 48 hours in the ambient atmosphere."
25-3.13.3.1.2,A set of test pieces or samples submitted for approval shall be considered satisfactory from the point of view of the test for resistance to humidity if all the tests have given a satisfactory result.
25-3.13.3.2,"For rigid plastic windscreens, laminated rigid plastic panes and laminated rigid plastic windscreens"
25-3.13.3.2.1,"No visible decompositions like bubbles or milkiness occur on any sample, "
25-3.13.3.2.2,and if the light transmittance measured does not fall to less than 95% of the pre-test value and additionally to no less than 70% for any window required for driver visibility.
25-3.13.3.2.3,"After testing the test pieces shall be stored for at least 48 hours at a temperature of 23 deg. C +/- 2 deg. C and a relative humidity of 50 per cent +/- 5 per cent, and then subjected to the 227 g ball drop test,( under ambient temperature and height of drop of 8.5 m)."
25-3.14,Light-transmission test
25-3.14.1,"Test piece: Four test piece for the complete product. For the laminated-glass windscreens of M1 vehicles the test shall be carried out in test area B (see figure 2, 3), For the laminated -glass windscreens of N1 vehicles, the manufacturer may request that the same test may be carried out either in test area B, or in the zone I (see Fig 5), for windscreens of other categories of vehicles, the test shall be carried out in the zone I; For the glass panes other than windscreen, the test piece of laminated-glass pane and the test piece of toughened -glass pane are both cut from the complete products."
25-3.14.1.1,For glass-plastics panes shall apply to glass glazing or parts of glass panes located at places which are essential to the driver's vision.
25-3.14.2,"The sensitivity of the measuring system shall be adjusted in such a way that the instrument indicating the response of the receiver indicates 100 divisions when the safety-glass pane is not inserted in the light path. Insert the safety-glass pane between the diaphragm and the receiver and adjust its orientation in such a way that the angle of incidence of the light beam is equal to 0 +/- 5 degrees. The regular transmittance should be measured on the safety-glass pane and for every point measured the number of divisions, n, shown on the indicating instrument, shall be read."
25-3.14.3,"The regular transmittance zeta is equal to n/100. Before 2010/01/01, the regular transmittance measured in the case of windscreens shall not be less than 75 % and, in the case of windows other than windscreens shall not be less than 70 %. From 2010/01/01, the regular transmittance measured of windscreens or other than windscreens shall not be less than 70 %..In the case  of glass panes in places not essentiabe less than 70 %. Glass panes with a regular light transmittance less than 70 % shall be appropriately marked."
25-3.14.4,All the tests give a satisfactory result.
25-3.15,Optical distortion test
25-3.15.1,Test pieces: four samples (complete product) shall be submitted for testing.
25-3.15.2,"The windscreen shall be mounted at the same angle of inclination as on the vehicle, at a distance of 4 m from the light source, and measure the angular deviation delta alpha measured between two points M and M' on the surface of the glass pane, on the display screen 6-8 m away from the light source, see figure 6."
25-3.15.3,"The maximum value of optical distortion: For vehicle symbol category N1, the manufacturer may request that the same test may be carried out either in test area A/ B, or in the zone I."
25-3.15.3.1,"For vehicle symbol categories M1 and N1 in the extended test area A (an area extended to the median plane of the vehicle, as indicated in Fig 1, Fig 1-1 ,and in the corresponding part of the windscreen symmetrical to it about the longitudinal medium plane of the vehicle): 2 of arc."
25-3.15.3.2,For vehicle symbol categories M1 and N1 in the reduced test area B (see Fig 2 and 3): 6 of arc.
25-3.15.3.3,"For vehicles of categories M and N except for M1, in zone I (see Fig 5): 2 of arc."
25-3.16,Secondary-image-separation test
25-3.16.1,Test pieces: four complete samples shall be submitted for testing.
25-3.16.2,The distance between the test piece and the light box is more than 7 m. Mount the test piece at the specified rake angle. Determine whether the secondary image of the spots shifts beyond the point of tangency with the inside edge of the circle..
25-3.16.3,"The maximum values of the separation of the primary and secondary images:  For vehicle symbol category N1, the manufacturer may request that the same test may be carried out either in test area A/ B, or in the zone I."
25-3.16.3.1,"For vehicle symbol category M1 and N1 in the extended test area A (an area extended to the median plane of the vehicle, as indicated in Fig 1,Fig 1-1, and in the corresponding part of the windscreen symmetrical to it about the longitudinal medium plane of the vehicle ): 15 of arc."
25-3.16.3.2,For vehicle symbol category M1 and N1 in the reduced test area B (see Fig 2 and 3): 25 of arc.
25-3.16.3.3,"For vehicles of categories M and N except for M1, in zone I (see Fig 5): 15 of arc."
25-3.17,Flexibility test and fold test
25-3.17.1,Test pieces: a rectangular flat sample 300 mm long and 25 mm wide and one piece shall be tested.
25-3.17.2,"25 mm wide is cut out and horizontally clamped into a clamping device in such a way that 275 mm of the length of test pieces freely extend over the holding device. (Temperature: 20 degrees C +/- 2 degrees C , relative Humidity: 60 % +/- 5 %)"
25-3.17.3,Test pieces shall comply with following regulations:
25-3.17.3.1,Rigid plastic: Sixty seconds after removal of this support the vertical deviation of the free end must be less than 50 mm.
25-3.17.3.2,"Flexible plastic: Sixty seconds after removal of this support the vertical deviation be more than 50 mm, and 10 seconds after a 180 degrees - folding the material shall not show any fracture-like damages at the point of buckling."
25-3.18,Sand drop test
25-3.18.1,"ApparatusThe sand drop test equipment shall consist essentially of that illustrated in Figure 8. The gravity tube consists of three separate rigid polyvinylchloride tubes (PVC hard) of the same diameter, with two polyamide sieves mounted in between. The sieves should have a mesh size of 1.6 mm. The speed of the turntable shall be 250 +/- 10 rev/min."
25-3.18.2,"Abrasive materialNatural quartz sand of grain size of 0.50/0.70 mm, with no oversize, obtained by sieving on wire sieves complying with ISO 565 with a mesh size of 0.50 mm and 0.70 mm. The sand may be used up to 10 times. "
25-3.18.3,Test piecesThree square flat pieces 50 mm x 50 mm of each type shall be taken from the flattest part of the windscreen in the area (windscreen in the area test area A). The test shall be carried out on the face corresponding to the outside of the windscreen. The test piece shall be conditioned to (23 +/- 2) deg. C and (50 +/- 5) per cent relative humidity (rH) for minimum 48 hours and subjected to testing at ambient temperature.
25-3.18.4,"Test procedureThree kilograms of 0.50/0.70 mm grain size quartz sand shall drop through a gravity tube from a height of 1.650 mm onto the sample to be tested. The test piece and, if necessary, a control-piece shall be mounted on a turntable, the axis of which is a 45 deg. angle to the direction of the sand. The test pieces shall be mounted on the turntable in such a way that the area to be measured does not extend beyond the turntable. One cycle of 3 kg sand drop shall be performed while the turntable is rotating. The surface of the test piece shall be washed in water containing l per cent detergent and rinsed with distilled or demineralized water, then carefully dried with a grease-free and dust-free linen cloth. Immediately after drying and before abrasion, the initial haze shall be measured, and the haze shall be measured again immediately after abrasion. A haze meter, according  Paragraph- of this Regulation, shall be used for measuring the haze."
25-3.18.5,Interpretation of resultsThe safety glazing shall be considered satisfactory if the increase of haze as a result of abrasion of the test piece does not exceed 5 per cent.
25-3.18.6,All the tests give a satisfactory result.
25-3.19,Car wash test
25-3.19.1,Apparatus The apparatus shall comprise at least the following individual components:
25-3.19.1.1,"Washing brush diameter (1,000 +/- 40) mm width Minimum 300 mm  rotation speed (127 +/- 5) rev/min brush rotation rotates in the opposite direction relative to the direction of travel of the test panel holder material polyethylene bristle profile x-shaped, spliced bristle thickness (0.8 +/- 0.2) mm bristle length (440 +/- 20) mm visible penetration depth (100 +/- 20) mm (see Figure 9) The state of the brushes shall be regularly controlled. At least one monitoring of the total amount of operating hours in use for the brush and an automatic replacement of the brush shall be conducted as soon as 30 operating hours are reached (30 hours equates around 300 test runs since one test takes around 6 minutes). The amount of operating hours shall be reported with the haze increase result of the sample."
25-3.19.1.2,Spray nozzle number 2 (spray alternatively and against the direction of travel of the test panel holder) material stainless steel spread of jet 65 deg. water flow rate (2.2 +/- 0.1) l/min. at (300 +/- 50) kPa The two nozzles shall spray alternately and against the direction of travel of the test panel holder. They shall produce the specified spray pattern (see instrument calibration in Figure 10).
25-3.19.1.3,"Test panel holder feed speed (5 +/- 0.2) m/min. pattern of movement if the brush is rotating clockwise, the right nozzle is spraying and the test panel holder travels from the left side to the right side (and vice versa)"
25-3.19.2,"Spray suspension Prepare a suspension consisting of (1.5 +/- 0.05 g) of silica powder (silica micro-powder having a mean particle size of 24  micrometres) per litre of tap water in a container, stirring vigorously. The water temperature shall be between 15 deg. C and 30 deg. C.The suspension shall be stirred continuously during the test procedure in such a way that the silica powder does not settle on the bottom of the container."
25-3.19.3,Test samples The size of the samples shall be 50 mm x 100 mm. Prior to testing the samples shall be conditioned for at least 48 hours at an ambient temperature (23 deg. C +/- 2 deg. C) and an ambient relative humidity (50 per cent +/-5 per cent).
25-3.19.4,Procedure
25-3.19.4.1,Prearrangements
25-3.19.4.1.1,The abrasion test shall be carried out at room temperature and only on the outside surface of the plastic safety glazing material.
25-3.19.4.1.2,Check the state of the polyethylene brushes as described  Paragraph- and replace them if they have reached 30 operating hours in total.
25-3.19.4.1.3,"Do the instrument calibration as follows: Set up the equipment as shown in figure 10. Fill with washing suspension ( Paragraph- and wet the brush sufficiently. Determine the flow rate of the water, (2.2 +/- 0.1) l/min., by measurement and adjust by altering the pressure, (300 +/- 50) kPa. Check the spray pattern of the nozzles (see Figure 11) If the spray pattern cannot be achieved or if the pressure regulation exceeds the tolerances, check, and if necessary replace, the nozzles."
25-3.19.4.2,Test
25-3.19.4.2.1,Affix the samples with the outside surface face up onto a supporting plate by using a double-faced adhesive tape (Sample positioning on the test holder as shown in Figure12). 
25-3.19.4.2.2,An area of at least 50 mm at the start and finish of the test panel holder and of at least 30 mm edgewise to the direction of travel of the test panel holder may not be used as testing area for the test specimen.
25-3.19.4.2.3,"Carry out 10 washing operations (10 double passes) using the to-and-fro pattern of movement. Rinse the washed test samples after removing the adhesive tape with cold water, and then clean it with a suitable solvent, e.g. Isopropyl alcohol (IPA), using soft, non-scratching paper tissues and wiping in the direction of the scratches. Finally, leave for 30 minutes to dry off. In case of any inhomogeneous surface appearance of the sample repeat this cleaning process to ensure complete removal of any residue"
25-3.19.4.2.4,"After drying, take the final readings of haze, as described  Paragraph- of this Regulation, of the test specimens across the direction of scratching."
25-3.19.4.3,"Expression of the results Subtract the average initial haze from the average total light scattered, the difference representing the light scatter resulting from washing the test specimen. Report this difference for 10 washing operations (10 double strokes) for the outside surface of the test samples."
25-3.19.5,Interpretation of results The safety glazing shall be considered satisfactory if the increase of haze as a result of abrasion of the test piece does not exceed 2 per cent.
25-3.19.6,All the tests give a satisfactory result.
25-3.20,Wiper laboratory test Determination of whether a rigid plastic material intended to be used as safety glazing in locations requisite for driver visibility and additionally equipped with a system suitable to wipe the surface has a certain minimum resistance against the action of a wiper including dirt at ambient temperature. 
25-3.20.1,Apparatus The apparatus1 is shown schematically in the following figures and includes at least the following individual components:
25-3.20.1.1,"A base apparatus with two pillars providing a back and forth linear motion with 37 +/- 2 cycles per minute and the possibility to adjust the stroke length (half a wipe cycles) to 130 +/- 5 mm, which leads to an average wipe speed of 160 +/- 15 mm/s (speed range from 0 (reversal point) to maximal speed (between the two reversal points)) Paragraph- The apparatus1 is shown schematically in the following figures and includes at least the following individual components: A wiper carriage assembly (see 1 in Figures 13 and 14) having a beam which spans across the width of the base apparatus and can be mounted at its ends to the pillars, furthermore this carriage assembly has two self-supporting arms (see 2 in Figures 13 and 14) where a wiper holder can be attached (the distance between the sample surface and bearing of self-supporting arm at the carriage assembly is 100 to 105 mm) Paragraph- A wiper holder2 (see 3 in Figure 13) suitable to attach a normal wiper blade (see 4 in Figure 13) and adjusted to provide a load of 15 +/- 0.5 g/cm (the weight of the wiper blade and its holder together with the wiper blade width determine the wiper load in g/cm) Paragraph- Two sample boxes3 (see 5 in Figures 13 and 14) made out of inert, material in the interior dimension of 200 mm x 120 mm (50 mm height) used to be filled with the aqueous suspension and having a hole at the bottom4 where the test sample can be inserted and therefore used as a test sample holder Paragraph- Different spacer plaques (see 7 in Figure 13) (e.g. made out of the sample box material) in the dimension of the sample but with different thicknesses used to compensate different test sample thicknesses (it is necessary that the bottom surface of the sample box and the sample surface to be tested are on the same height); furthermore care has to be taken to avoid scratching the test sample placed on top of the spacer (e.g. by placing a ultrathin soft film on the surface of the spacer) Paragraph- A stainless steel tray (see 11 in Figures 13 and 14), "
25-3.20.1.7,A wipe cycle counter.
25-3.20.2,"Wiper blade The wiper used to test the resistance of rigid plastic safety glazing against wiping with dirt shall be either: (a) A normal glass windscreen wiper blade based on chloroprene type rubber (CR grade), chlorinated and with a graphite based anti-friction coating on the surface6 in a width of 80 mm or, (b) A commercially available specific device which is adjusted to the surface characteristics of the rigid plastic glazing and actually intended to be used in the vehicle (e.g. a hydrophobic wiper blade) also in a width of 80 mm. The geometric and chemical characteristics and type of the specific device used for the typ approval test shall be described in the test report. In case the specific device has a significantly different cross profile it might be necessary to adapt the wiper blade holder respectively. A new blade shall be used for every test sample. The wiper blade shall be fixed into the holder as shown below(see 15)."
25-3.20.3,Sample The size of the absolutely flat test samples shall be 150 mm x 100 mm (slightly larger than the wipe area of 130 mm stroke length and 80 mm wiper blade length). The thickness of the test sample shall correspond to the thickness of the rigid plastic glazing part.
25-3.20.4,Aqueous suspension The aqueous suspension shall contain: (a) 195 +/- 1 g water (with a hardness of less than 205 mg/l after evaporation) (97.5 wt.-per cent) (b) 5 +/- 0.2 g so called ISO test dust A4 (according to ISO 12103-1)7 (2.5 wt.-per cent) (c) And shall be freshly prepared at room temperature and stirred before use. This amount of aqueous suspension is sufficient for testing one sample and leads to a filling level of around 10 mm in the sample box. A new aqueous suspension shall be used for every test.
25-3.20.5,Procedure
25-3.20.5.1,Sample pre-treatment  Before testing the samples shall be cleaned using a soft cloth soaked with iso-propanol followed by deionized water and drying. After cleaning the samples shall be conditioned for at least 24 hours at 23 deg. C +/- 2 deg. C and (50 +/- 5) per cent relative humidity. The initial haze value according  Paragraph- of this Regulation of the test sample is measured at 9 measurement points across the sample (see 4 in Figure 18).
25-3.20.5.2,Test equipment pre-check
25-3.20.5.2.1,Before the equipment is used for testing samples the back and forth linear motion of the pillars of the base apparatus shall be checked for being uniform without any disturbance like getting stuck or starting to vibrate.
25-3.20.5.2.2,"Build up the whole instrument including tray, wiper carriage assembly, wiper blade holders and new wiper blades but without sample box and sample (see Figure 16). To do so the two new wiper blades shall be mounted to their respective wiper blade holders and the latter ones shall be fixed to the carriage assembly. Then align using a spirit level the base plate where later the sample box will be placed and the wiper carriage assembly. Check that the distances of the two bearings of both self-supporting arms at the wiper carriage assembly and at the wiper blade holder are identical. Furthermore control visually that the wiper blade rest on the base plate uniformly without losing contact to the base plate at any point of the wiper blade."
25-3.20.5.2.3,After this pre-check the wiper carriage assemble with the wiper blade holder and the wiper blade shall be removed from the base instrument to allow built up of the sample boxes.
25-3.20.5.2.4,"The test shall be carried out under the following conditions: ambient temperature of 20 deg. C +/- 5 deg. C, atmospheric pressure of 86 kPa to 106 kPa (860 mbar to 1,060 mbar), and relative humidity of (60 +/- 20) per cent."
25-3.20.5.3,Abrasion procedure 
25-3.20.5.3.1,With the instrument described above two samples shall be tested in parallel. In case there is only one sample to be tested the second sample box needs to be fitted with a dummy sample.
25-3.20.5.3.2,The sample box shall be placed into the stainless steel tray and fixed using adhesive tape on the two short sides of the box according to see B in Figure 16. It is essential that the position of the box leads to a wiping area in exactly the middle of the sample (see 2 in Figure 16). A spacer plaque adjusted to the thickness of the test sample so that the test sample surface and the bottom surface of the sample box are on the same height (no visible gap in height between sample and bottom surface of the sample box) shall be placed into the hole in the bottom of the sample box.
25-3.20.5.3.3,The sample shall be placed with the to be tested side facing up (representing the outside surface of the plastic glazing part) into the sample holder of the sample box onto the right spacer plaque (which has a soft masking film on its surface to avoid scratching the test samples backside). An adhesive tape shall be used all around the test sample to fix it into the holder and seal the space between sample edge and sample box (to avoid suspension penetrating underneath the sample). The tape shall be used in such a way that the overlay between tape and sample is at maximum 10 mm or in other words in such a way that the wiping area of the sample (see Figure 18) is free of any adhesive tape.
25-3.20.5.3.4,"After fixing the sample the carriage assembly including wiper holders and blades from the pre-check shall be mounted to the pillars of the base apparatus. Thereby, the wiper blades get into contact with their respective samples. The correct load (15 +/- 0.5 g/cm of the wiper blade onto the sample shall be checked using a spring balance.9 Ensure again that the whole equipment (especially test sample, box, and carriage assembly inclusive wiper holder and blade) is aligned by using a spirit level."
25-3.20.5.3.5,A freshly prepared suspension shall be filled into each sample box and then the linear back and forth motion of the wiper blade shall be started. 
25-3.20.5.3.6,In order to ensure a homogenous abrading it is necessary to follow the action described below:
25-3.20.5.3.6.1,"After half of the test cycle numbers 10,000 cycles the test shall be stopped and the two sample boxes shall be exchanged without turning them (see Figure 17)10; this leads to an exchange for the two simultaneously tested samples regarding their wiper blades and furthermore alters the alignment of the self-supporting arm carrying the blade (from left to right or the other way round)."
25-3.20.5.4,Sample treatment after abrasion
25-3.20.5.4.1,"When the abrasion test is finished after 20,000 wipe cycles the suspension shall be drained and the abraded test samples shall be removed and cleaned using a multistep process including: (a) Washing with running water, (b) Drying, (c) Wiping with an iso-propanol soaked soft cloth, (d) Followed by deionized water, and (e) Drying."
25-3.20.5.4.2,After cleaning the abraded test samples shall be checked for visible chatter marks as this indicates a none uniform movement of the wiper during the abrasion test. In case of visible chatter marks this sample shall be discarded from further investigation and a retest with a new test sample needs to be done.
25-3.20.5.4.3,"The samples without chatter marks shall be conditioned for at least 24 hours at 23 deg.C +/- 2 deg. C and (50 +/- 5) per cent relative humidity. The final haze value according to this regulation of the test samples shall be measured within the middle of the samples(area of 75 mm x 60 mm).  The area at the edges of the sample - 20 mm from the long edges and 37.5 mm from the short edges - shall be excluded from the optical measurement. These areas include the reversal point of the wiper blade and the two ends of the wiper blade, where localized different abrasion conditions could exist compared to the middle of the test sample."
25-3.20.5.4.4,Nine measurement points according to Figure 18 below shall be used to determine the delta haze at these points and calculate an average delta haze afterwards.
25-3.20.6,"Expression of results Subtract the initial haze from the final haze for every measurement point, the difference representing the so-called delta haze. Calculate out of these values for the individual measurement points the average delta haze (including standard deviation) resulting from abrasion action of aqueous dirt wiped for 20,000 cycles on the sample surface by a to be reported wiper blade type."
